assigned_number_for_genre_type,new_comments_by_male_creator,pct_new_comments_by_male_creator,new_comments_by_female_creator,pct_new_comments_by_female_creator,new_comments_by_custom_gender_creator,pct_new_comments_by_custom_gender_creator,new_comments_by_null_gender_creator,pct_new_comments_by_null_gender_creator,total_new_creator_comment_count,pct_new_comments_by_creator,listener_new_comment_count,pct_new_comments_by_listener,responses_by_male_creator,pct_responses_by_male_creator,responses_by_female_creator,pct_responses_by_female_creator,responses_by_custom_gender_creator,pct_responses_by_custom_gender_creator,responses_by_null_gender_creator,pct_responses_by_null_gender_creator,total_responses_by_creator,pct_total_responses_by_creator,total_responses_by_listener,pct_total_responses_by_listener,total_reponse_count
1,1307,72.61,172,9.56,215,11.94,106,5.89,1800,3.58,48432,96.41,50234,77.77,763,10.42,481,6.57,383,5.23,7320,59.54,4795,39,12295
2,800,82.22,91,9.35,33,3.39,49,5.04,973,2.58,36813,97.42,37786,85.28,73,3.45,107,5.05,132,6.23,2119,38.58,3361,61.2,5492
3,88,45.36,56,28.87,46,23.71,4,2.06,194,2.77,6797,97.23,6991,47,162,30.34,97,18.16,24,4.49,534,38.28,827,59.28,1395
5,52,62.65,17,20.48,12,14.46,2,2.41,83,3.76,2127,96.24,2210,75.89,33,9.82,19,5.65,29,8.63,336,57.05,235,39.9,589
7,36,52.94,3,4.41,28,41.18,1,1.47,68,5.52,1163,94.48,1231,65.69,19,13.87,13,9.49,15,10.95,137,41.39,185,55.89,331
4,26,42.62,33,54.1,1,1.64,1,1.64,61,1.2,5005,98.8,5066,69.23,1,7.69,2,15.38,1,7.69,13,4.56,272,95.44,285
9,54,96.43,1,1.79,1,1.79,0,0,56,7.65,676,92.35,732,65.22,3,4.35,18,26.09,3,4.35,69,34.33,132,65.67,201
6,23,62.16,12,32.43,1,2.7,1,2.7,37,2.2,1644,97.8,1681,75,18,16.67,5,4.63,4,3.7,108,54.27,91,45.73,199
10,8,61.54,1,7.69,1,7.69,3,23.08,13,1.96,651,98.04,664,50,2,3.57,17,30.36,9,16.07,56,31.64,121,68.36,177
13,8,42.11,2,10.53,4,21.05,5,26.32,19,5.32,338,94.68,357,71.05,4,5.26,1,1.32,17,22.37,76,49.67,75,49.02,153
8,28,65.12,11,25.58,4,9.3,0,0,43,4.33,951,95.67,994,81.58,5,13.16,2,5.26,0,0,38,33.93,72,64.29,112
15,7,43.75,6,37.5,2,12.5,1,6.25,16,4.68,326,95.32,342,80,10,18.18,0,0,1,1.82,55,57.29,41,42.71,96
12,5,83.33,1,16.67,0,0,0,0,6,1.38,430,98.62,436,85,2,10,1,5,0,0,20,22.22,70,77.78,90
11,3,75,0,0,1,25,0,0,4,0.65,613,99.35,617,95.65,0,0,0,0,1,4.35,23,50,21,45.65,46
19,4,80,0,0,1,20,0,0,5,5.32,89,94.68,94,73.33,0,0,4,26.67,0,0,15,36.59,25,60.98,41
17,8,80,1,10,0,0,1,10,10,6.94,134,93.06,144,50,5,50,0,0,0,0,10,29.41,21,61.76,34
14,12,85.71,2,14.29,0,0,0,0,14,3.23,419,96.77,433,100,0,0,0,0,0,0,11,40.74,16,59.26,27
18,0,0,0,0,1,100,0,0,1,0.82,121,99.18,122,77.78,0,0,1,5.56,3,16.67,18,69.23,8,30.77,26
16,1,25,1,25,0,0,2,50,4,1.59,248,98.41,252,88.89,1,11.11,0,0,0,0,9,42.86,11,52.38,21
20,4,100,0,0,0,0,0,0,4,5.33,71,94.67,75,75,0,0,1,25,0,0,4,28.57,10,71.43,14
25,1,100,0,0,0,0,0,0,1,3.03,32,96.97,33,80,1,20,0,0,0,0,5,41.67,7,58.33,12
30,0,,0,,0,,0,,0,0,25,100,25,100,0,0,0,0,0,0,6,60,4,40,10
27,0,0,0,0,3,100,0,0,3,9.38,29,90.63,32,0,0,0,0,0,2,100,2,22.22,7,77.78,9
28,0,,0,,0,,0,,0,0,28,100,28,100,0,0,0,0,0,0,8,88.89,1,11.11,9
22,0,,0,,0,,0,,0,0,64,100,64,,0,,0,,0,,0,0,8,100,8
26,0,,0,,0,,0,,0,0,34,100,34,100,0,0,0,0,0,0,4,50,4,50,8
29,0,0,0,0,0,0,1,100,1,3.57,27,96.43,28,100,0,0,0,0,0,0,3,42.86,4,57.14,7
21,0,,0,,0,,0,,0,0,69,100,69,100,0,0,0,0,0,0,1,16.67,5,83.33,6
23,1,100,0,0,0,0,0,0,1,1.89,52,98.11,53,80,0,0,0,0,1,20,5,83.33,1,16.67,6
32,0,0,0,0,1,100,0,0,1,4.35,22,95.65,23,,0,,0,,0,,0,0,3,100,3
34,0,,0,,0,,0,,0,0,16,100,16,50,1,50,0,0,0,0,2,66.67,1,33.33,3
40,2,100,0,0,0,0,0,0,2,28.57,5,71.43,7,100,0,0,0,0,0,0,1,33.33,2,66.67,3
24,1,100,0,0,0,0,0,0,1,2.17,45,97.83,46,,0,,0,,0,,0,0,2,100,2
35,0,,0,,0,,0,,0,0,16,100,16,100,0,0,0,0,0,0,2,100,0,0,2
38,0,,0,,0,,0,,0,0,14,100,14,,0,,0,,0,,0,0,2,100,2
49,0,,0,,0,,0,,0,0,1,100,1,,0,,0,,0,,0,0,2,100,2
44,0,,0,,0,,0,,0,0,3,100,3,,0,,0,,0,,0,0,1,100,1
31,0,,0,,0,,0,,0,0,30,100,30,,0,,0,,0,,0,0,1,100,1
33,0,,0,,0,,0,,0,0,23,100,23,,0,,0,,0,,0,0,1,100,1
36,0,,0,,0,,0,,0,0,17,100,17,,0,,0,,0,,0,0,1,100,1
37,0,,0,,0,,0,,0,0,16,100,16,,0,,0,,0,,0,0,1,100,1
39,0,,0,,0,,0,,0,0,9,100,9,,0,,0,,0,,0,0,1,100,1
54,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,100,1
41,0,,0,,0,,0,,0,0,8,100,8,,0,,0,,0,,0,,0,,0
45,0,,0,,0,,0,,0,0,4,100,4,,0,,0,,0,,0,,0,,0
46,0,,0,,0,,0,,0,0,4,100,4,,0,,0,,0,,0,,0,,0
47,0,,0,,0,,0,,0,0,4,100,4,,0,,0,,0,,0,,0,,0
48,0,,0,,0,,0,,0,0,4,100,4,,0,,0,,0,,0,,0,,0
43,0,,0,,0,,0,,0,0,5,100,5,,0,,0,,0,,0,,0,,0
50,0,,0,,0,,0,,0,0,2,100,2,,0,,0,,0,,0,,0,,0
51,0,,0,,0,,0,,0,0,2,100,2,,0,,0,,0,,0,,0,,0
52,0,,0,,0,,0,,0,0,1,100,1,,0,,0,,0,,0,,0,,0
53,0,,0,,0,,0,,0,0,1,100,1,,0,,0,,0,,0,,0,,0
42,0,,0,,0,,0,,0,0,6,100,6,,0,,0,,0,,0,,0,,0
55,1,100,0,0,0,0,0,0,1,100,0,0,1,,0,,0,,0,,0,,0,,0
56,0,,0,,0,,0,,0,0,1,100,1,,0,,0,,0,,0,,0,,0
57,0,,0,,0,,0,,0,0,1,100,1,,0,,0,,0,,0,,0,,0
58,1,100,0,0,0,0,0,0,1,100,0,0,1,,0,,0,,0,,0,,0,,0
